client_id,language,scenario_id,shape,rows,n,median_s,p95_s,min_s,max_s,rows_per_s
python-odbc,python,narrow_1000,narrow,1000,5,1.2279243750017486,1.23988954160086,1.2023248330006027,1.2403015000018058,814.3824003807857
python-odbc,python,narrow_10000,narrow,10000,5,1.673041292000562,1.8418755751998104,1.5665287080009875,1.8800724169996101,5977.138787795467
python-odbc,python,narrow_100000,narrow,100000,5,4.517769458998373,5.225484842000151,4.280948500003433,5.3900799170005484,22134.81695061324
python-odbc,python,narrow_1000000,narrow,1000000,5,20.079076292000536,25.412791724801355,19.921797249997326,26.733723583001847,49803.08782423413
python-odbc,python,select_1,scalar,1,5,0.4197219169982418,0.47275663319960587,0.4063278329995228,0.4763694579996809,2.3825298596551225
python-odbc,python,wide_1000,wide,1000,5,1.6162080419999256,1.7049153747990202,1.5525102499996137,1.7138058329983323,618.7322263058297
python-odbc,python,wide_10000,wide,10000,5,2.164468291000958,2.3860932666008012,1.8616728750021139,2.4225140000016836,4620.072302087411
python-odbc,python,wide_100000,wide,100000,5,10.434190250001848,13.27124176700163,9.46335262499997,13.483521417001612,9583.877388087905
python-odbc,python,wide_1000000,wide,1000000,5,45.19419850000122,48.29590879180032,42.09079770899916,48.522195292000106,22126.733810756108
python-odbc,python,wide_single_row,wide,1,5,0.9706294169991452,1.0403283335981541,0.9268576670001494,1.0460762919974513,1.0302593167757665
python-sql-connector,python,narrow_1000,narrow,1000,5,0.8251531249989057,0.8406705413995951,0.8175625420008146,0.844016457998805,1211.8962768290141
python-sql-connector,python,narrow_10000,narrow,10000,5,0.8247777090000454,0.8278638000003411,0.8060149170014483,0.8284791250007402,12124.478984918165
python-sql-connector,python,narrow_100000,narrow,100000,5,2.1244822079970618,5.000713657800224,1.8283746659981261,5.418020416000218,47070.29299825433
python-sql-connector,python,narrow_1000000,narrow,1000000,5,7.443513917001837,10.070903517199621,6.805584292000276,10.570520708999538,134345.15084547442
python-sql-connector,python,select_1,scalar,1,5,0.42036354200172354,0.4306917000016256,0.40704716600157553,0.43095625000205473,2.3788932675705254
python-sql-connector,python,wide_1000,wide,1000,5,0.8128113339989795,0.8242352004017448,0.807167582999682,0.8261167090022354,1230.297804879349
python-sql-connector,python,wide_10000,wide,10000,5,0.8925083329995687,0.8955404505999468,0.8595392919996812,0.8957905839997693,11204.377180873707
python-sql-connector,python,wide_100000,wide,100000,5,5.166411958001845,6.421502100398357,2.9892781250018743,6.65392966699801,19355.792920291216
python-sql-connector,python,wide_1000000,wide,1000000,5,27.246474209001462,33.69440118360071,26.328078791000735,35.238997542001016,36701.99646123858
python-sql-connector,python,wide_single_row,wide,1,5,0.5313942920001864,0.5427375913990545,0.5299625000006927,0.5455724579987873,1.8818418169980065
r-adbc,r,narrow_1000,narrow,1000,5,0.6068,0.6350999999999999,0.6032,0.6413,1647.9894528675015
r-adbc,r,narrow_10000,narrow,10000,5,0.8231,0.8883800000000001,0.7961,0.8921,12149.192078726765
r-adbc,r,narrow_100000,narrow,100000,5,1.2806,1.47008,1.1346,1.5074,78088.39606434484
r-adbc,r,narrow_1000000,narrow,1000000,5,16.5905,18.72776,9.7398,18.943,60275.45884693048
r-adbc,r,select_1,scalar,1,5,0.297,0.30972,0.2859,0.3123,3.367003367003367
r-adbc,r,wide_1000,wide,1000,5,0.6382,0.6521999999999999,0.625,0.6552,1566.9069257286117
r-adbc,r,wide_10000,wide,10000,5,1.4205,1.79446,1.2124,1.8494,7039.774727208729
r-adbc,r,wide_100000,wide,100000,5,7.0356,7.59738,5.086,7.642,14213.42884757519
r-adbc,r,wide_1000000,wide,1000000,5,37.6375,41.24176,31.723,41.5243,26569.24609764198
r-adbc,r,wide_single_row,wide,1,5,0.4423,0.45905999999999997,0.43120000000000003,0.4614,2.2609088853719195
r-brickster-sql,r,narrow_1000,narrow,1000,5,1.0981,1.3076400000000001,1.0357,1.3519,910.6638739641198
r-brickster-sql,r,narrow_10000,narrow,10000,5,1.1266,1.1495799999999998,1.0921,1.1542,8876.264867743654
r-brickster-sql,r,narrow_100000,narrow,100000,5,2.7995,2.8447999999999998,2.5529,2.8451,35720.66440435792
r-brickster-sql,r,narrow_1000000,narrow,1000000,5,25.6157,29.73156,20.3714,30.0913,39038.55838411599
r-brickster-sql,r,select_1,scalar,1,5,0.937,0.9983,0.9107,1.0105,1.0672358591248665
r-brickster-sql,r,wide_1000,wide,1000,5,1.1244,1.1436,1.089,1.1451,889.3632159373888
r-brickster-sql,r,wide_10000,wide,10000,5,1.9452,1.98636,1.7503,1.9958,5140.859551717047
r-brickster-sql,r,wide_100000,wide,100000,5,11.4704,12.05824,10.2798,12.0755,8718.091784070302
r-brickster-sql,r,wide_1000000,wide,1000000,5,46.2071,65.7269,41.5313,67.9544,21641.695756712714
r-brickster-sql,r,wide_single_row,wide,1,5,1.081,1.2210199999999998,1.0509,1.256,0.9250693802035153
r-jdbc,r,narrow_1000,narrow,1000,5,1.1165,1.1456399999999998,1.1005,1.1522,895.6560680698611
r-jdbc,r,narrow_10000,narrow,10000,5,1.1355,1.14862,1.1136,1.1498,8806.693086745927
r-jdbc,r,narrow_100000,narrow,100000,5,1.9797,4.087339999999999,1.7527,4.3781,50512.70394504218
r-jdbc,r,narrow_1000000,narrow,1000000,5,7.8455,11.207399999999998,7.3769,12.0229,127461.60219233955
r-jdbc,r,select_1,scalar,1,5,0.7235,0.77434,0.7206,0.7858,1.38217000691085
r-jdbc,r,wide_1000,wide,1000,5,1.1283,1.1365,1.1153,1.1383,886.2891075068687
r-jdbc,r,wide_10000,wide,10000,5,1.7804,1.8182600000000002,1.7793,1.8237,5616.715344866322
